stature,sitting_height,buttock_knee_length,popliteal_height,elbow_rest_height,shoulder_height
1749.6714153011233,969.9677718293001,572.9928690010247,392.7657732636783,232.73012790070132,1366.0992254381838
1686.1735698828816,946.2316841456384,594.2192531713793,424.18844967661494,249.3759302212183,1363.7268713292917
1764.7688538100692,902.9815184960087,568.3032031600015,437.59183399735065,250.36033744088894,1256.348546189599
1852.3029856408025,867.6531611147213,587.6815388144383,506.6306297202057,259.4526069168681,1373.592784663885
1676.5846625276663,934.9111656806795,524.2554133218486,466.69659373601274,222.66283273438347,1458.6263265457396
1676.586304305082,919.6742692710875,608.5317482949175,409.93555292700324,261.8513454769466,1298.0614304738565
1857.9212815507392,944.7596610013866,600.048219014489,464.5810886825291,195.9121673679445,1483.8786120840473
1776.7434729152908,931.7585900840985,567.3164547572724,403.580880331849,237.40230895272379,1439.021985686747
1653.0525614065048,952.4776357659667,626.3698267372962,482.4807316166122,240.2345231509691,1341.261334242317
1754.2560043585966,873.2382394219716,637.5028055050624,435.86626044546364,262.66653652142475,1388.6776290129721
1653.6582307187537,965.8697032817163,535.697605425241,447.1909143378249,250.45261705353738,1527.8657446112827
1653.4270246429744,909.87998023462,569.4910088573514,489.7738994262657,221.88873892287427,1458.6838250804692
1724.1962271566035,1003.7630436312633,569.234306008508,411.3850929424725,230.30013748365968,1400.7026923918518
1508.67197553422,865.5406090955216,562.4038759556454,408.0864544466103,253.97360019094813,1380.9853346431212
1527.5082167486967,986.7981901582625,633.1789936772699,432.49202020961985,248.41865316270886,1406.1287256361327
1643.7712470759027,909.8955391731324,592.2469544490879,481.1513655305795,238.41751780728507,1359.0589153646158
1598.7168879665576,867.4290998192776,589.4194063475755,404.4196177356947,240.38332420976042,1231.620039542479
1731.4247332595273,875.8057082972839,519.8455054237298,365.03533205668293,263.9233599431858,1563.3742328427784
1609.1975924478788,883.982634590284,625.416721208369,436.46523424773005,239.64614854261572,1412.4259999359522
1558.769629866471,921.2082973200958,550.4296642058611,466.5522239973276,248.23817511941854,1431.851781209803
1846.5648768921553,926.141774401775,602.3973052106531,486.0078524921649,293.39873176161086,1395.3673800098472
1677.4223699513464,871.314999803071,611.0950775183277,436.105159137438,221.52634726232154,1341.190655942033
1706.7528204687924,898.7822703869508,654.4263438335461,437.6572017865199,212.96314536850684,1385.1260415240984
1557.5251813786542,1007.1135179305932,547.6471840352356,484.6170220276724,265.6717932959721,1272.0484190244551
1645.5617275474817,986.3771585050356,479.219513767167,393.9077490091374,236.42713877411794,1582.1669198442644
1711.0922589709867,921.8161834837016,607.3539817901478,438.3443767445097,243.6352494451476,1301.2390401262082
1584.9006422577697,901.90017390841,672.0204472604341,455.7127166977517,234.37687243737773,1317.4426972922256
1737.5698018345672,906.001566335913,649.5578541175774,463.476561638551,244.80399718464975,1364.779263649088
1639.9361310081194,930.6758986365209,608.386376610985,434.70579920427355,281.9707622419268,1503.0460579881901
1670.8306250206724,848.8603717400797,580.3345525747181,451.03323035117523,266.0425691723624,1401.1607199410123
